股票代码,股票名称,涨跌幅,概念名称
2693,双成药业,10.01,"阿尔茨海默概念,辅助生殖,肝炎概念,股权转让(并购重组),海南自贸区,芯片概念"
300676,华大基因,5.15,"阿尔茨海默概念,创投,三胎概念,辅助生殖,肝炎概念,合成生物,互联网医疗,猴痘概念,基因测序,区块链,数据要素,一带一路,医疗器械概念,智能医疗"
688271,联影医疗,4.51,"阿尔茨海默概念,互联网医疗,医疗器械概念,智能医疗"
2675,东诚药业,1.18,"阿尔茨海默概念,创新药,细胞免疫治疗,幽门螺杆菌概念"
688105,诺唯赞,1.15,"阿尔茨海默概念,合成生物,猴痘概念,基因测序"
766,通化金马,0.65,"阿尔茨海默概念,参股银行,创新药,肝炎概念,工业大麻,流感,民营医院"
600771,广誉远,0.48,"阿尔茨海默概念,白酒概念,互联网医疗,医药电商"
2773,康弘药业,0.30,"阿尔茨海默概念,创新药,合成生物,眼科医疗"
301509,金凯生科,0.25,"阿尔茨海默概念,氟化工概念,减肥药"
2082,万邦德,0.17,"阿尔茨海默概念,创新药,肝炎概念,流感,生物疫苗"
2107,沃华医药,0.00,"阿尔茨海默概念,流感"
600227,赤天化,0.00,"阿尔茨海默概念,仿制药一致性评价,化肥,煤化工概念,煤炭概念,民营医院"
2252,上海莱士,-0.13,"阿尔茨海默概念,合成生物"
705,浙江震元,-0.24,"阿尔茨海默概念,参股银行,仿制药一致性评价,民营医院,幽门螺杆菌概念,医药电商"
605177,东亚药业,-0.36,阿尔茨海默概念
300404,博济医药,-0.63,"阿尔茨海默概念,减肥药,细胞免疫治疗,幽门螺杆菌概念"
2393,力生制药,-0.68,"阿尔茨海默概念,核污染防治"
756,新华制药,-0.77,"阿尔茨海默概念,辅助生殖,医美概念,幽门螺杆菌概念,医药电商"
2020,京新药业,-0.87,"阿尔茨海默概念,眼科医疗"
600267,海正药业,-0.91,"阿尔茨海默概念,宠物经济,动物疫苗,减肥药,青蒿素,禽流感,医美概念"
2262,恩华药业,-0.94,"阿尔茨海默概念,芬太尼,医药电商"
301258,富士莱,-1.05,"阿尔茨海默概念,医美概念"
600521,华海药业,-1.12,"阿尔茨海默概念,细胞免疫治疗"
600572,康恩贝,-1.21,"阿尔茨海默概念,工业大麻,毛发医疗,眼科医疗,医药电商"
688068,热景生物,-1.41,"阿尔茨海默概念,重组蛋白"
300016,北陆药业,-1.57,"阿尔茨海默概念,基因测序"
600789,鲁抗医药,-1.64,"阿尔茨海默概念,宠物经济,禽流感,消毒剂"
661,长春高新,-1.75,阿尔茨海默概念
2513,蓝丰生化,-4.92,"阿尔茨海默概念,生态农业,染料"
66,中国长城,9.98,"AI PC,车联网(车路协同),锂电池概念,东数西算(算力),分拆上市意愿,国产操作系统,军工,国企改革,海工装备,互联网医疗,华为概念,华为鲲鹏,军民融合,量子科技,钠离子电池,汽车电子,区块链,人工智能,深股通,数据安全,数据中心,数字经济,卫星导航,信创,芯片概念,网络安全,央企国企改革,液冷服务器,粤港澳大湾区,智慧城市,智能电网,中字头股票,5G"
600745,闻泰科技,3.70,"AI PC,AI手机,第三代半导体,苹果概念,汽车芯片,数据中心,同花顺漂亮100,无线耳机,先进封装,小米概念,虚拟现实,液冷服务器,英伟达概念,智能穿戴,智能座舱"
301236,软通动力,3.56,"AI PC,阿里巴巴概念,百度概念,长安汽车概念,低空经济,东数西算(算力),抖音概念,多模态AI,ERP概念,工业互联网,国产操作系统,互联网金融,鸿蒙概念,换电概念,华为鲲鹏,华为欧拉,华为昇腾,京津冀一体化,跨境电商,区块链,人形机器人,数据安全,数据要素,数字货币,数字经济,数字孪生,数字乡村,算力租赁,腾讯概念,小米概念,虚拟电厂,虚拟数字人,养老概念,元宇宙,智能医疗,智能座舱,职业教育"
300956,英力股份,3.49,"AI PC,储能,特斯拉概念,TOPCON电池,小米概念"
2579,中京电子,3.45,"AI PC,AI手机,创投,储能,存储芯片,低空经济,共封装光学(CPO),工业互联网,广东自贸区,毫米波雷达,军民融合,MiniLED,OLED,PCB概念,汽车电子,人形机器人,柔性屏(折叠屏),WiFi 6,无线耳机,先进封装,新型烟草(电子烟),养老概念,医疗器械概念,粤港澳大湾区,智能穿戴,智能音箱,6G概念"
603341,龙旗科技,3.36,"AI PC,创投,PCB概念,汽车电子,无线耳机,小米汽车,星闪概念,新股与次新股,虚拟现实,一带一路,智能穿戴,智能音箱,智能座舱,注册制次新股"
603296,华勤技术,3.17,"AI PC,毫米波雷达,汽车电子,上海自贸区,数据中心,无线耳机,星闪概念,液冷服务器,英伟达概念,智能穿戴,智能家居,智能音箱,智能座舱"
301308,江波龙,2.56,"AI PC,AI手机,存储芯片,国家大基金持股,EDR概念,华为鲲鹏,先进封装,小米汽车"
688595,芯海科技,2.28,"AI PC,传感器,鸿蒙概念,汽车芯片,星闪概念"
1314,亿道信息,2.11,"AI PC,电子竞技,多模态AI,鸿蒙概念,空间计算,数字货币,元宇宙,智能音箱"
688031,星环科技,2.04,"AI PC,独角兽概念,多模态AI,华为鲲鹏,华为昇腾,数据安全,数字水印"
2843,泰嘉股份,1.97,"AI PC,高压快充,苹果概念"
301312,智立方,1.93,"AI PC,华为海思概念股,空间计算,苹果概念,新型烟草(电子烟),元宇宙"
2993,奥海科技,1.90,"AI PC,抖音概念,广东自贸区,跨境电商,露营经济,苹果概念,网络直播,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,无线充电"
1339,智微智能,1.85,"AI PC,ETC,鸿蒙概念,人形机器人,人脸识别,数据安全,粤港澳大湾区,云办公,在线教育,智能医疗"
603936,博敏电子,1.61,"AI PC,存储芯片,EDR概念,共封装光学(CPO),MiniLED,PCB概念,苹果概念"
2426,胜利精密,1.42,"AI PC,PET铜箔,苹果概念,一体化压铸"
1309,德明利,1.31,"AI PC,存储芯片,共封装光学(CPO),中芯国际概念"
603228,景旺电子,1.24,"AI PC,共封装光学(CPO),PCB概念,柔性屏(折叠屏),英伟达概念,6G概念"
301489,思泉新材,1.11,"AI PC,AI手机,富士康概念,石墨烯,无线充电"
300496,中科创达,1.10,"AI PC,AI手机,抖音概念,独角兽概念,多模态AI,国产操作系统,华为海思概念股,华为欧拉,华为汽车,虚拟数字人,英伟达概念,语音技术,智能物流,智能医疗,智能座舱"
688327,云从科技,0.56,"AI PC,多模态AI,华为欧拉,华为昇腾,人脸识别,数据确权,虚拟数字人"
688525,佰维存储,0.50,"AI PC,AI手机,国家大基金持股"
2815,崇达技术,0.41,"AI PC,人形机器人"
603890,春秋电子,0.41,"AI PC,F5G概念,富士康概念,小米汽车"
300476,胜宏科技,0.00,"AI PC,AI手机,人形机器人,英伟达概念"
2913,奥士康,-0.08,"AI PC,英伟达概念,6G概念"
1283,豪鹏科技,-0.30,"AI PC,动力电池回收,两轮车,新型烟草(电子烟)"
872190,雷神科技,-0.91,"AI PC,电子竞技,WiFi 6"
2156,通富微电,-0.95,"AI PC,国家大基金持股,华为海思概念股"
2938,鹏鼎控股,-1.16,"AI PC,AI手机"
300602,飞荣达,-1.39,"AI PC,华为海思概念股"
603327,福蓉科技,5.46,"AI手机,高股息精选,苹果概念,消费电子概念,小米概念,5G"
