序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,secID
1,833580,科创新材,16.38,30.0,3.78,40418.0,62943816.29,26.19,16.38,13.08,13.5,12.6,24.71,7.23,135.48,4.29,1408680000.0,915700329.0,0.0,12.19,184.87,103.23,833580
2,831627,力王股份,28.15,29.72,6.45,41414.0,106129152.25,26.77,28.21,22.4,22.4,21.7,19.72,8.85,104.46,6.13,2658767500.0,1317912625.0,19.28,22.44,251.88,135.56,831627
3,603205,C健尔康,88.11,25.73,18.03,63044.0,527279375.0,29.89,96.21,75.26,75.5,70.08,9.25,21.44,84.85,7.59,10573200000.0,2590335845.0,5.01,-6.51,501.43,501.43,603205.XSHG
4,835508,殷图网联,46.5,21.63,8.27,23467.0,102688450.72,21.4,48.06,39.88,40.0,38.23,20.48,9.01,-223.52,12.12,2325000000.0,1210743750.0,2.11,4.49,235.74,247.53,835508
5,300173,福能东方,5.86,20.08,0.98,418346.0,233149140.0,18.65,5.86,4.95,4.98,4.88,42.81,5.69,477.02,4.74,4305492590.0,4305492590.0,4.27,14.9,68.88,19.35,300173.XSHE
6,300484,蓝海华腾,27.59,20.01,4.6,191100.0,527245617.34,0.0,27.59,27.59,27.59,22.99,20.71,11.63,205.84,8.95,5729943621.0,4534630405.0,0.0,0.0,99.06,121.25,300484.XSHE
7,688262,国芯科技,27.89,20.01,4.65,101603.0,278222332.0,7.23,27.89,26.21,26.95,23.24,31.87,3.84,-55.21,4.17,9371037574.0,7372739350.0,0.0,1.42,69.03,-4.94,688262.XSHG
8,688656,浩欧博,114.84,20.0,19.14,36360.0,408118150.0,9.86,114.84,105.4,114.83,95.7,84.7,5.77,204.47,8.98,7241618388.0,7241618388.0,6.33,4.9,421.05,234.23,688656.XSHG
9,300801,泰和科技,20.52,20.0,3.42,71991.0,143520891.0,12.63,20.52,18.36,18.36,17.1,50.36,5.37,40.14,1.88,4482183600.0,2751426355.0,0.0,2.6,45.22,20.99,300801.XSHE
10,300409,道氏技术,17.18,15.92,2.36,284705.0,470039831.25,10.8,17.28,15.68,15.68,14.82,20.2,5.85,50.95,1.86,9993221116.0,8364817634.0,1.36,3.56,99.07,59.67,300409.XSHE
11,688778,厦钨新能,58.11,13.94,7.11,62802.0,358590371.0,9.78,59.37,54.38,56.0,51.0,17.62,1.49,49.9,2.83,24451002868.0,24451002868.0,1.15,0.19,95.0,49.23,688778.XSHG
12,300380,安硕信息,60.13,13.93,7.35,143120.0,883742577.51,8.18,63.34,59.02,60.81,52.78,22.19,11.24,1244.34,22.44,8324340077.0,7658971141.0,-2.8,-5.07,247.17,183.5,300380.XSHE
