序号,代码,secShortName_x,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,板块名称,em板块名称
1,688262,国芯科技,27.89,20.01,4.65,142651.0,392706040.0,7.23,27.89,26.21,26.95,23.24,5.4,-55.21,4.17,高带宽内存,"高带宽内存_11_1_11.0,星闪概念_26_8_3.25,存储芯片_42_9_4.67,量子通信_35_17_2.06,国产芯片_251_103_2.44,汽车芯片_35_12_2.92,网络安全_85_47_1.81,无人驾驶_147_86_1.71,边缘计算_84_41_2.05,电子身份证_20_14_1.43,AI芯片_17_9_1.89,人工智能_306_245_1.25,机器人概念_219_181_1.21,数字货币_38_37_1.03,融资融券_1564_2017_0.78,沪股通_512_818_0.63"
2,688535,华海诚科,84.71,11.02,8.41,70704.0,585581997.0,12.78,86.5,76.75,78.78,76.3,16.53,146.83,6.64,高带宽内存,"高带宽内存_11_1_11.0,半导体概念_228_94_2.43,Chiplet概念_23_4_5.75,专精特新_425_319_1.33,融资融券_1564_2017_0.78,沪股通_512_818_0.63"
3,688733,壹石通,20.32,7.74,1.46,92106.0,184181300.0,12.14,21.35,19.06,19.06,18.86,4.61,206.27,1.84,高带宽内存,"高带宽内存_11_1_11.0,半导体概念_228_94_2.43,锂电池_186_187_0.99,专精特新_425_319_1.33,融资融券_1564_2017_0.78,沪股通_512_818_0.63"
4,688300,联瑞新材,57.5,5.43,2.96,45846.0,263147981.0,6.11,58.9,55.57,55.57,54.54,2.47,43.33,7.41,高带宽内存,"高带宽内存_11_1_11.0,5G概念_201_116_1.73,PCB_63_21_3.0,专精特新_425_319_1.33,预盈预增_352_474_0.74,融资融券_1564_2017_0.78,沪股通_512_818_0.63"
5,603005,晶方科技,28.44,5.26,1.42,857975.0,2395638362.0,5.63,28.8,27.28,27.28,27.02,13.16,75.41,4.39,高带宽内存,"高带宽内存_11_1_11.0,光刻机(胶)_68_14_4.86,3D摄像头_8_3_2.67,半导体概念_228_94_2.43,Chiplet概念_23_4_5.75,国产芯片_251_103_2.44,汽车芯片_35_12_2.92,第三代半导体_76_30_2.53,5G概念_201_116_1.73,生物识别_27_23_1.17,传感器_57_34_1.68,华为概念_412_277_1.49,氮化镓_34_12_2.83,增强现实_29_16_1.81,高送转_104_109_0.95,预盈预增_352_474_0.74,机构重仓_407_540_0.75,融资融券_1564_2017_0.78,沪股通_512_818_0.63,上证380_129_247_0.52"
6,688035,德邦科技,39.8,4.46,1.7,58241.0,229669479.0,5.72,40.38,38.2,38.2,38.1,6.56,70.24,2.5,高带宽内存,"高带宽内存_11_1_11.0,半导体概念_228_94_2.43,无线耳机_50_33_1.52,苹果概念_85_42_2.02,专精特新_425_319_1.33,新能源车_283_292_0.97,太阳能_177_221_0.8,融资融券_1564_2017_0.78,沪股通_512_818_0.63,上证380_129_247_0.52"
7,002559,亚威股份,9.64,2.55,0.24,512652.0,492025172.57,3.72,9.75,9.4,9.47,9.4,10.24,39.02,2.96,高带宽内存,"高带宽内存_11_1_11.0,光刻机(胶)_68_14_4.86,存储芯片_42_9_4.67,半导体概念_228_94_2.43,国产芯片_251_103_2.44,军工_317_175_1.81,OLED_88_39_2.26,边缘计算_84_41_2.05,新型工业化_50_36_1.39,工业互联_114_69_1.65,工业母机_50_33_1.52,华为概念_412_277_1.49,智能机器_96_79_1.22,机器人概念_219_181_1.21,工业4.0_64_65_0.98,太阳能_177_221_0.8,股权激励_84_115_0.73,机构重仓_407_540_0.75,深股通_598_815_0.73"
8,002409,雅克科技,67.34,2.03,1.34,209199.0,1405038173.1,3.56,68.5,66.15,66.9,66.0,6.57,32.1,4.42,高带宽内存,"高带宽内存_11_1_11.0,光刻机(胶)_68_14_4.86,存储芯片_42_9_4.67,半导体概念_228_94_2.43,中芯概念_47_12_3.92,国产芯片_251_103_2.44,OLED_88_39_2.26,工业气体_15_12_1.25,氟化工_16_15_1.07,预盈预增_352_474_0.74,融资融券_1564_2017_0.78,深股通_598_815_0.73,深成500_179_315_0.57,中证500_174_322_0.54,富时罗素_417_859_0.49,MSCI中国_168_385_0.44,标准普尔_303_736_0.41,磷化工_10_28_0.36"
9,838971,天马新材,41.12,1.78,0.72,88267.0,366403534.85,6.93,43.0,40.2,41.1,40.4,10.42,129.7,9.96,高带宽内存,"高带宽内存_11_1_11.0,半导体概念_228_94_2.43,玻璃基板_21_13_1.62,专精特新_425_319_1.33,新材料_162_175_0.93,融资融券_1564_2017_0.78"
10,300475,香农芯创,33.27,0.21,0.07,244621.0,824155381.69,3.83,34.27,33.0,33.48,33.2,5.56,31.34,5.15,高带宽内存,"高带宽内存_11_1_11.0,存储芯片_42_9_4.67,半导体概念_228_94_2.43,智能机器_96_79_1.22,创业板综_618_725_0.85,预盈预增_352_474_0.74,机构重仓_407_540_0.75,融资融券_1564_2017_0.78,深股通_598_815_0.73,深成500_179_315_0.57"
